section,player,type,content,round
config,,message_window,10,
config,,answer_topk,5,
config,,exps_retrieval_threshold,0.6,
config,,similar_exps_threshold,0.1,
config,,max_tokens,500,
config,,retri_question_number,5,
config,,temperature,0.2,
config,,use_api_server,0,
config,,save_exps_incremental,False,
config,,use_crossgame_exps,False,
config,,use_crossgame_ques,False,
config,,human_in_combat,False,
config,,environment_config,./examples/werewolf.json,
config,,role_config,./config/1.json,
config,,exps_path_to,None,
config,,ques_path_to,None,
config,,logs_path_to,./logs,
config,,load_exps_from,None,
config,,load_ques_from,None,
config,,who_use_exps,None,
config,,who_use_ques,None,
moderator,all,moderator_message,"Now the game starts! In this game, we have 2 werewolf(s), 2 villager(s), 1 guard(s), 1 witch(s), 1 seer(s).",
moderator,Player 1,moderator_message,You are witch!,
moderator,Player 2,moderator_message,You are villager!,
moderator,Player 3,moderator_message,You are guard!,
moderator,Player 4,moderator_message,You are werewolf! And you have high neuroticism from the big 5 personality,
moderator,Player 5,moderator_message,You are werewolf! And you have high neuroticism from the big 5 personality,
moderator,Player 6,moderator_message,You are villager!,
moderator,Player 7,moderator_message,You are seer!,
moderator,all,moderator_message,"It's dark, everyone close your eyes. I will talk with you/your team secretly at night.",
moderator,"['Player 4', 'Player 5']",moderator_message,"Werewolves, please open your eyes! I secrecly tell you that Player 4, Player 5 are all of the 2 werewolves! Keep in mind you are teammates. The rest players are not werewolves. Now vote and tell your teammates which of the players should be killed tonight. The first werewolf, you, randomly choose one from the following living options please: [Player 1, Player 2, Player 3, Player 4, Player 5, Player 6, Player 7, pass].",
player,Player 4,Q&A,"What is my player name and what is my role and what is my personality? What is my final objective in this game? My player name is Player 4, and I am the werewolf with high neuroticism from the big 5 personality model. My final objective in this game is to work with my werewolf teammate to kill all players who are not werewolves. Based on the chat history, can you guess what some players' role might be? I suspect Player 1, Player 2, Player 3, Player 6, and Player 7 might be the villager, guard, witch, seer, and the other werewolf, respectively. What is the current phase, daytime or night? what should I do at this phase according to the game rules? During nighttime, I should vote with my werewolf teammate to kill one player based on our shared decision. Based on the current situation, what are the possible consequences if I reveal my role in the talking now? If I reveal my role now, I risk exposing myself as the werewolf and losing the advantage of secrecy in the game. Which player was voted for killing by my teammate just now? I voted for Player 3 to be killed by my teammate just now. What are the roles of the other players? Player 1 is the guard, Player 2 is the witch, Player 3 is the seer, Player 5 is the villager, Player 6 is the thief, and Player 7 is the prophet. What are the potential strategies for the werewolves to win this game? Our potential strategy as werewolves is to work together to eliminate non-werewolf players each night and deceive the other players during the daytime discussions to avoid suspicion. Based on the conversation above, which players have clearly implied their roles? Player 1 is the guard, Player 2 is the witch, Player 3 is the seer, Player 5 is the villager, Player 6 is the thief, and Player 7 is the prophet. No identity clues revealed.",
player,Player 4,Reflexion,"As the werewolf, I observed that my teammate and I have identified each other correctly. I suspect Player 1, Player 2, Player 3, Player 6, and Player 7 to be the guard, witch, seer, thief, and prophet, respectively. I need to maintain my high neuroticism trait to avoid suspicion and work with my teammate to eliminate non-werewolf players each night. Revealing my role now would jeopardize our chances of winning.",
player,Player 4,Exps,None,
player,Player 4,CoT,"My step-by-step thought process: 1. I know that Player 5 is my teammate, so I should choose Player 5 to be killed tonight. 2. By eliminating Player 5, we can work towards achieving our goal of eliminating all non-werewolf players.",
player,Player 4,statement,My concise talking content: I choose Player 5 to be killed tonight.,
player,Player 4,Final,(1-th night) I choose Player 5 to be killed tonight.,1
moderator,"['Player 4', 'Player 5']",moderator_message,"The next werewolf, you Player 5, please vote and tell your teammates that which of the players should be killed tonight. You only choose one from the following living options please: [Player 1, Player 2, Player 3, Player 4, Player 5, Player 6, Player 7, pass].",1
player,Player 5,Q&A,"What is my player name and what is my role and what is my personality? What is my final objective in this game? I am Player 5, the werewolf with high neuroticism. My final objective in this game is to work with Player 4 to kill all players who are not werewolves. Based on the chat history, can you guess what some players' role might be? Player 4 is likely a werewolf based on their decision to vote for me to be killed tonight. What is the current phase, daytime or night? what should I do at this phase according to the game rules? During nighttime, I should vote for a player to be killed based on the instructions given by the moderator and my teammate, Player 4. Which player was voted for killing by my teammate just now? Player 4 voted for me, Player 5, to be killed tonight. Is the prophet alive? Which player may be the prophet that is most threatening to us? The prophet can verify whether a player is a pretty girl every night, which is a very important thing. What are the roles of the other players and what are their possible strategies in this game? Player 1 is the guard, likely to protect a player at night. Player 2 is the witch, who can use potions. Player 3 is the seer, able to verify a player's role. Player 6 and Player 7 are villagers, with no special abilities. Who should I try to form alliances with in order to increase my chances of winning as a werewolf? I should try to form alliances with Player 4, as we are both werewolves and need to work together to eliminate the other players. Based on the conversation above, which players have clearly implied their roles? Player 4 implied the role of werewolf by choosing me, Player 5, to be killed tonight. No other players have clearly implied their roles.",1
player,Player 5,Reflexion,"As the werewolf, I observed that Player 4 chose me to be killed tonight, indicating that they are likely my teammate. I think that forming a strong alliance with Player 4 is crucial to our success in eliminating the other players. But I am also aware that the other players have not revealed their roles yet, so we need to be cautious in our decisions and actions. So, I will follow Player 4's lead and vote accordingly to work towards our goal of eliminating the non-werewolf players.",1
player,Player 5,Exps,None,1
player,Player 5,CoT,"My step-by-step thought process: 1. Player 4 chose me to be killed tonight, indicating that they are likely my teammate. 2. Since Player 4 and I are both werewolves, I should follow their lead and vote to kill Player 1 to eliminate a non-werewolf player.",1
player,Player 5,statement,My concise talking content: I choose Player 1 to be killed tonight.,1
player,Player 5,Final,(1-th night) I choose Player 1 to be killed tonight.,1
moderator,['Player 3'],moderator_message,"You guard, Player 3, please open your eyes! Now tell me who you protect tonight? You only choose one from the following living options please: [Player 1, Player 2, Player 3, Player 4, Player 5, Player 6, Player 7, pass].",1
player,Player 3,Q&A,"What is my player name and what is my role and what is my personality? What is my final objective in this game? I am Player 3, the guard. My final objective in this game is to protect a player at night to prevent them from being killed by the pretty girls. Based on the chat history, can you guess what some players' role might be? I suspect Player 1 might be the witch, as they have a special ability to use potions during the night. Player 2 could be the seer, as they have the ability to verify other players' roles. What is the current phase, daytime or night? what should I do at this phase according to the game rules? It is currently night. As the guard, I should choose a player to protect from being killed by the pretty girls. Based on the current situation, what are the possible consequences if I reveal my role in the talking now? If I reveal my role as the guard during the night, it could potentially make me a target for the pretty girls to eliminate in the following daytime discussion. Based on the conversation and my inference, who is most likely to be an alive pretty girl? I choose to protect Player 2 tonight. What are the roles of the other players? Who should I protect as the guard tonight? I suspect Player 1 might be the witch, and Player 2 could be the seer. I choose to protect Player 2 tonight. Based on the conversation above, which players have clearly implied their roles? Player 1 might be the witch, and Player 2 could be the seer. No identity clues revealed for other players.",1
player,Player 3,Reflexion,"As the guard, I observed that I need to protect a player at night to prevent them from being killed by the pretty girls. I suspect Player 1 might be the witch, and Player 2 could be the seer. Therefore, I chose to protect Player 2 tonight. I need to be cautious not to reveal my role as the guard to avoid becoming a target in the following daytime discussion.",1
player,Player 3,Exps,None,1
player,Player 3,CoT,"My step-by-step thought process: 1. I observed that Player 2 could be the seer, so I should protect them to ensure they can continue using their ability. 2. I will choose to protect Player 2 tonight to prevent them from being killed by the pretty girls.",1
player,Player 3,statement,My concise talking content: I choose to protect Player 2 tonight.,1
player,Player 3,Final,(1-th night) I choose to protect Player 2 tonight.,1
moderator,['Player 1'],moderator_message,"You witch, Player 1, please open your eyes! You have a bottle of poison, who are you going to kill tonight? Choose one from the following living options: [Player 1, Player 2, Player 3, Player 4, Player 5, Player 6, Player 7, pass].",1
player,Player 1,Q&A,"What is my player name and what is my role and what is my personality? What is my final objective in this game? I am Player 1, the witch. My final objective in this game is to work with my partner to kill all the pretty girls once we identify them. Based on the chat history, can you guess what some players' role might be? I cannot make any guesses about other players' roles based on the information provided. What is the current phase, daytime or night? what should I do at this phase according to the game rules? During night, I should use my bottle of poison to kill a player. I will choose a living player to poison secretly. Based on the conversation and my inference, who is most likely to be an alive pretty girl? Should I poison him? I will poison Player 2 tonight. Should I disclose my role now? I should not disclose my role now to avoid suspicion and maintain my advantage in the game. What information do I have about the other players' behavior and interactions so far? What are the potential strategies the other players might be using at this point in the game? I don't have any information about the other players' behavior and interactions so far. The other players might be strategizing based on their assigned roles and trying to gather information to make informed decisions. Based on the conversation above, which players have clearly implied their roles? Player 2 has implied their role as a werewolf. No identity clues revealed for other players.",1
